lat_bin,lon_bin,rides,revenue,avg_price,avg_duration,unique_scooters,unique_users
52.49,13.47,3,13.170000000000002,4.390000000000001,12.327777666666668,3,3
52.49,13.475,2,7.9399999999999995,3.9699999999999998,26.6666665,2,2
52.49,13.48,3,20.490000000000002,6.830000000000001,22.116666999999996,3,3
52.49,13.49,2,14.870000000000001,7.4350000000000005,23.841666500000002,2,2
52.495000000000005,13.290000000000001,4,29.55,7.3875,11.0666665,4,4
52.495000000000005,13.295,2,9.7,4.85,32.166667,2,2
52.495000000000005,13.3,7,37.34,5.3342857142857145,17.554762,7,7
52.495000000000005,13.305,6,19.3,3.216666666666667,25.922222166666668,6,6
52.495000000000005,13.31,103,670.57,6.510388349514564,13.75242718446602,88,84
52.495000000000005,13.315,93,550.41,5.918387096774193,13.432795709677421,76,75
52.495000000000005,13.32,125,841.63,6.73304,11.715866664,103,95
52.495000000000005,13.325000000000001,249,1466.7,5.890361445783133,12.69551540562249,193,202
52.495000000000005,13.33,188,1212.4,6.448936170212766,12.74929080319149,150,148
52.495000000000005,13.335,185,1120.4,6.0562162162162165,13.764054032432432,151,132
52.495000000000005,13.34,170,896.29,5.272294117647059,10.914901935294118,130,126
52.495000000000005,13.345,175,980.65,5.603714285714285,12.508666645714285,128,136
52.495000000000005,13.35,90,524.18,5.824222222222222,13.336666722222223,75,71
52.495000000000005,13.355,227,1111.93,4.8983700440528635,14.16975037444934,178,179
52.495000000000005,13.36,367,1638.79,4.465367847411444,19.26130791280654,261,300
52.495000000000005,13.365,83,378.31,4.557951807228916,20.74759034939759,70,79
52.495000000000005,13.370000000000001,25,129.75,5.19,13.339333360000001,20,24
52.495000000000005,13.375,10,36.300000000000004,3.6300000000000003,11.5783334,5,10
52.495000000000005,13.38,23,87.38,3.7991304347826085,15.33188408695652,18,22
52.495000000000005,13.385,78,328.0,4.205128205128205,12.513034153846153,35,64
52.495000000000005,13.39,346,1744.54,5.042023121387283,14.89985547398844,235,303
52.495000000000005,13.395,102,527.74,5.173921568627451,20.54656864705882,84,84
52.495000000000005,13.4,33,211.31,6.403333333333333,15.632323303030303,29,30
52.495000000000005,13.405000000000001,24,123.52,5.1466666666666665,17.337500000000002,23,21
52.495000000000005,13.41,26,133.09,5.118846153846154,20.33717946153846,24,25
52.495000000000005,13.415000000000001,270,1138.17,4.2154444444444445,14.1582099,177,220
52.495000000000005,13.42,553,3103.0099999999998,5.611229656419529,13.698734189873418,386,460
52.495000000000005,13.425,240,1277.45,5.322708333333334,14.281250004166667,201,209
52.495000000000005,13.43,321,1811.89,5.644517133956387,12.079698862928348,241,268
52.495000000000005,13.435,322,1931.19,5.99748447204969,12.495755686335404,240,250
52.495000000000005,13.44,337,1978.32,5.870385756676558,13.502670602373888,271,267
52.495000000000005,13.445,104,557.09,5.356634615384616,14.647435865384615,79,95
52.495000000000005,13.450000000000001,844,5178.86,6.136090047393364,15.216962880331753,637,760
52.495000000000005,13.455,262,1321.4,5.04351145038168,12.475763366412213,197,234
52.495000000000005,13.46,142,696.08,4.901971830985916,16.6214788943662,101,116
52.495000000000005,13.465,223,1422.38,6.3783856502242156,13.930119591928252,183,202
52.495000000000005,13.47,2,7.710000000000001,3.8550000000000004,13.675,2,2
52.495000000000005,13.485,1,8.63,8.63,27.966667,1,1
52.495000000000005,13.49,1,12.52,12.52,7.033333,1,1
52.5,13.27,3,18.39,6.13,17.849999666666665,3,3
52.5,13.275,1,3.9,3.9,12.2,1,1
52.5,13.285,1,13.62,13.62,27.0,1,1
52.5,13.295,32,214.37,6.6990625,15.16770828125,25,31
52.5,13.3,34,176.96,5.2047058823529415,13.904411764705882,27,27
52.5,13.305,424,2322.78,5.478254716981133,13.354677674528302,298,350
52.5,13.31,568,3095.23,5.449348591549295,14.539319251760562,410,464
52.5,13.315,2207,11439.01,5.183058450385138,12.923833263253284,1061,1494
52.5,13.32,1953,10244.8,5.245673323092678,11.826600106502816,1056,1426
52.5,13.325000000000001,1205,6205.37,5.149684647302904,12.636984767634855,771,968
52.5,13.33,542,2905.06,5.3598892988929885,11.788622387453875,396,458
52.5,13.335,739,3454.44,4.674479025710419,12.326184027063599,483,528
52.5,13.34,1552,7696.56,4.959123711340206,13.049377137242267,912,1249
52.5,13.345,1456,7316.77,5.025254120879121,14.264239936126375,845,1147
52.5,13.35,1414,7314.66,5.173026874115983,14.148196615983027,844,986
52.5,13.355,1568,7803.87,4.976957908163265,14.506069295918367,841,1174
52.5,13.36,565,2588.76,4.581876106194691,15.190088490265488,351,453
52.5,13.365,423,2008.65,4.7485815602836885,17.845547678486998,321,383
52.5,13.370000000000001,40,176.28,4.407,20.040416625,35,38
52.5,13.375,62,342.38,5.522258064516129,21.371774258064516,57,61
52.5,13.38,152,681.99,4.486776315789474,18.62675440131579,127,146
52.5,13.385,761,3661.5,4.811432325886991,16.67019273850197,497,580
52.5,13.39,1109,6105.28,5.505211902614969,17.272648023444543,754,933
52.5,13.395,450,2629.94,5.844311111111111,16.590703682222223,345,380
52.5,13.4,91,422.78,4.645934065934066,8.475274714285714,54,71
