lat_bin,lon_bin,rides,revenue,avg_price,avg_duration,unique_scooters,unique_users,ends,net_flow
52.485,13.345,14.0,93.32000000000001,6.665714285714286,19.589285714285715,12.0,14.0,10.0,-4.0
52.485,13.35,13.0,46.78,3.5984615384615384,20.403846153846153,10.0,12.0,17.0,4.0
52.485,13.355,11.0,69.25,6.295454545454546,16.354545545454545,9.0,11.0,17.0,6.0
52.485,13.36,9.0,71.47999999999999,7.942222222222221,12.0,7.0,9.0,16.0,7.0
52.485,13.365,4.0,32.08,8.02,15.8041665,4.0,4.0,8.0,4.0
52.485,13.370000000000001,1.0,0.89,0.89,15.766667,1.0,1.0,4.0,3.0
52.485,13.375,4.0,35.71,8.9275,12.070833,4.0,4.0,5.0,1.0
52.485,13.38,6.0,32.44,5.406666666666666,11.308333499999998,6.0,6.0,6.0,0.0
52.485,13.385,14.0,54.03,3.8592857142857144,26.567857214285713,11.0,13.0,23.0,9.0
52.485,13.39,4.0,35.92,8.98,21.9208335,4.0,3.0,5.0,1.0
52.485,13.395,5.0,13.54,2.7079999999999997,18.8300002,4.0,5.0,7.0,2.0
52.485,13.4,1.0,10.44,10.44,3.666667,1.0,1.0,0.0,-1.0
52.485,13.405000000000001,3.0,17.92,5.973333333333334,23.03333333333333,3.0,3.0,4.0,1.0
52.485,13.41,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
52.485,13.415000000000001,3.0,11.8,3.9333333333333336,18.066666666666666,3.0,3.0,4.0,1.0
52.485,13.42,121.0,585.27,4.836942148760331,16.534710743801654,90.0,107.0,123.0,2.0
52.485,13.425,473.0,2304.6,4.8723044397463005,11.11983790486258,299.0,393.0,476.0,3.0
52.485,13.43,980.0,4570.21,4.663479591836735,11.496258502040817,523.0,724.0,906.0,-74.0
52.485,13.435,628.0,2829.4,4.505414012738854,11.660111458598726,364.0,471.0,722.0,94.0
52.485,13.44,388.0,2001.49,5.158479381443299,13.062027494845362,249.0,296.0,471.0,83.0
52.485,13.445,359.0,1767.46,4.923286908077994,11.791643470752089,216.0,268.0,391.0,32.0
52.485,13.450000000000001,23.0,101.83,4.427391304347826,20.719565217391303,20.0,22.0,24.0,1.0
52.485,13.455,7.0,35.730000000000004,5.104285714285715,17.98809514285714,6.0,6.0,8.0,1.0
52.485,13.46,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
52.485,13.465,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
52.485,13.47,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.485,13.48,3.0,13.229999999999999,4.409999999999999,20.861110999999998,3.0,3.0,2.0,-1.0
52.485,13.485,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.485,13.5,1.0,10.57,10.57,17.216667,1.0,1.0,2.0,1.0
52.485,13.505,1.0,6.75,6.75,41.433333,1.0,1.0,0.0,-1.0
52.49,13.14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.49,13.285,1.0,5.02,5.02,23.916667,1.0,1.0,0.0,-1.0
52.49,13.3,2.0,16.240000000000002,8.120000000000001,10.9666665,2.0,2.0,4.0,2.0
52.49,13.31,3.0,18.32,6.1066666666666665,26.28333333333333,3.0,3.0,5.0,2.0
52.49,13.315,23.0,102.76,4.467826086956522,28.66376808695652,22.0,21.0,34.0,11.0
52.49,13.32,6.0,29.060000000000002,4.843333333333334,20.25555566666667,5.0,6.0,11.0,5.0
52.49,13.325000000000001,16.0,99.93,6.245625,15.5124999375,14.0,16.0,22.0,6.0
52.49,13.33,32.0,186.91,5.8409375,14.7734374375,26.0,28.0,33.0,1.0
52.49,13.335,16.0,119.08,7.4425,17.70520825,15.0,16.0,18.0,2.0
52.49,13.34,20.0,103.91,5.1955,21.8916667,17.0,18.0,27.0,7.0
52.49,13.345,27.0,175.05,6.483333333333333,12.30370374074074,23.0,25.0,30.0,3.0
52.49,13.35,23.0,179.78,7.816521739130435,19.065217391304348,20.0,22.0,39.0,16.0
52.49,13.355,45.0,183.32999999999998,4.074,19.678518577777776,33.0,37.0,57.0,12.0
52.49,13.36,56.0,235.78,4.210357142857143,22.144642857142856,47.0,53.0,94.0,38.0
52.49,13.365,6.0,39.3,6.55,16.322222166666666,6.0,6.0,6.0,0.0
52.49,13.370000000000001,16.0,115.51,7.219375,19.096874875,14.0,15.0,23.0,7.0
52.49,13.375,19.0,94.32000000000001,4.96421052631579,19.874561315789474,17.0,17.0,31.0,12.0
52.49,13.38,17.0,66.33,3.901764705882353,16.591176470588238,12.0,16.0,22.0,5.0
52.49,13.385,43.0,201.01,4.674651162790697,22.639922511627905,38.0,43.0,64.0,21.0
52.49,13.39,89.0,382.0,4.292134831460674,16.724344595505617,57.0,73.0,103.0,14.0
52.49,13.395,77.0,447.11,5.806623376623377,18.826190493506495,62.0,66.0,97.0,20.0
52.49,13.4,25.0,142.76,5.7104,19.558,25.0,23.0,32.0,7.0
52.49,13.405000000000001,86.0,490.77,5.706627906976744,18.54360460465116,77.0,79.0,75.0,-11.0
52.49,13.41,452.0,2418.42,5.350486725663717,16.58130532079646,305.0,366.0,532.0,80.0
52.49,13.415000000000001,259.0,1314.66,5.075907335907337,12.464800513513513,171.0,202.0,323.0,64.0
52.49,13.42,267.0,1288.5,4.825842696629214,13.15917602247191,185.0,223.0,276.0,9.0
52.49,13.425,840.0,3872.34,4.609928571428572,13.554642854761905,486.0,642.0,760.0,-80.0
52.49,13.43,413.0,2241.19,5.426610169491526,13.258757050847459,294.0,340.0,417.0,4.0
52.49,13.435,415.0,2020.78,4.869349397590361,11.113895587951806,250.0,295.0,487.0,72.0
52.49,13.44,93.0,414.6,4.458064516129032,13.905555602150537,68.0,82.0,105.0,12.0
52.49,13.445,13.0,34.06,2.62,21.92948723076923,10.0,12.0,14.0,1.0
52.49,13.450000000000001,31.0,135.24,4.362580645161291,15.488172032258065,26.0,27.0,30.0,-1.0
52.49,13.455,27.0,190.81,7.0670370370370375,13.204938333333333,19.0,24.0,47.0,20.0
